,run,root,Image1,Image2,IT_root_im1,IT_root_im2,IT_im1_im2,V2_root_im1,V2_root_im2,V2_im1_im2,cat_root,cat_im1,cat_im2,concept_root,concept_im1,concept_im2,V2_im2_minus_im1,IT_im2_minus_im1,IT_most_similar,V2_most_similar,left_right,LeftIm,RightIm,IT_most_similar_lr,V2_most_similar_lr,rew_probs,block_order,sub,resp,semantic_resp,choice_rt,semantic_rt,choice,choice_bin,resp_bin,decision_dur,run_mode,root_times,choice_times,feedback_times,rew,isi_root,isi_choice,iti,bank,choice_incl_late_responses,choice_bin_incl_late_responses,resp_bin_incl_late_responses,choice_rt_incl_late_responses
11,1,207_1.jpg,207_2.jpg,207_3.jpg,0.21436109,0.328808754,0.520711942,0.040664491000000004,0.17183498600000002,0.038049900000000005,robe,chisel,arrow,clothing,tool,weapon,0.131170495,0.11444766399999998,im2,im2,right,207_3.jpg,207_2.jpg,left,left,0.775,V2,f01,1,1,0.6046261459998732,0.637545677000162,Image2,1.0,1.0,0.75,behavior,181.816467054,188.83342463200006,195.59975965500007,1.0,5,6,5,11,Image2,1.0,1.0,0.6046261459998732
12,1,283_1.jpg,283_2.jpg,283_3.jpg,-0.306122255,0.784843663,-0.224116695,0.069095924,-0.002283501,0.014604583999999999,crossbow,coral,air_pump,weapon,animal,Unclassified,-0.071379425,1.090965918,im2,im1,left,283_2.jpg,283_3.jpg,right,left,0.775,V2,f01,2,1,,0.749169024999901,missed,,,0.75,behavior,201.6167714620001,207.63314387200012,212.38315348800006,,4,4,5,11,Image2,1.0,0.0,0.7727205629998934
13,1,84_1.jpg,84_2.jpg,84_3.jpg,-0.36345549899999996,0.727832638,-0.113266676,0.040509723,0.130362934,0.059279963,baby,grape,baby,Unclassified,fruit,Unclassified,0.08985321100000003,1.091288137,im2,im2,right,84_3.jpg,84_2.jpg,left,left,0.775,V2,f01,2,1,0.5092606339999293,0.494199295000044,Image1,0.0,0.0,0.75,behavior,218.39980923400003,224.41672693100008,230.1831342600001,0.0,4,5,5,11,Image1,0.0,0.0,0.5092606339999293
14,1,66_1.jpg,66_2.jpg,66_3.jpg,-0.192795145,0.6622133889999999,-0.201952978,0.099169915,-0.009270101,-0.001795677,pomegranate,gondola,okra,fruit,vehicle,fruit,-0.108440016,0.8550085340000001,im2,im1,right,66_3.jpg,66_2.jpg,left,right,0.775,V2,f01,1,1,0.4294157039998936,0.7257629939999788,Image2,1.0,1.0,0.75,behavior,236.20008999100014,242.2164621070001,247.98343684099996,1.0,4,5,3,11,Image2,1.0,1.0,0.4294157039998936
15,1,39_1.jpg,39_2.jpg,39_3.jpg,-0.24959006399999997,0.22827617100000003,-0.19226769600000002,0.161134733,0.0026386870000000002,0.013350608,latch,fingerprint,stir_fry,Unclassified,Unclassified,Unclassified,-0.158496046,0.477866235,im2,im1,left,39_2.jpg,39_3.jpg,right,left,0.775,V2,f01,1,2,0.37318459199991594,0.7581018549999499,Image1,0.0,1.0,0.75,behavior,251.9998033050001,260.0167583970001,265.7831688670001,1.0,6,5,4,11,Image1,0.0,1.0,0.37318459199991594
16,1,36_1.jpg,36_2.jpg,36_3.jpg,-0.152960886,0.33928512200000005,0.14926685,0.09522053800000001,-0.007765415,0.035902355,nacho,steamroller,notebook,food,vehicle,Unclassified,-0.102985953,0.492246008,im2,im1,left,36_2.jpg,36_3.jpg,right,left,0.775,V2,f01,1,2,0.5015744439999708,0.9819050829999014,Image1,0.0,1.0,0.75,behavior,270.80006509500004,278.816401261,282.583424616,1.0,6,3,9,11,Image1,0.0,1.0,0.5015744439999708
17,1,2_1.jpg,2_2.jpg,2_3.jpg,-0.35305987899999997,-0.229803061,0.410662033,0.052226648,0.009619373,0.091675464,alpaca,calzone,lip_balm,animal,Unclassified,Unclassified,-0.042607275,0.12325681800000003,im2,im1,right,2_3.jpg,2_2.jpg,left,right,0.775,V2,f01,,1,,0.8059744229999524,missed,,,0.75,behavior,292.6000254360001,298.6164261440001,301.36643383,,4,2,2,11,missed,,,
18,1,282_1.jpg,282_2.jpg,282_3.jpg,-0.47936823,0.620403884,-0.373408289,0.036367585,0.08987826,0.01921576,mushroom,bobsled,hail,Unclassified,vehicle,Unclassified,0.053510675,1.099772114,im2,im2,right,282_3.jpg,282_2.jpg,left,left,0.775,V2,f01,1,1,0.3181148700000449,0.5988993809999101,Image2,1.0,1.0,0.75,behavior,304.3830892830001,309.39980288900006,317.16674782300015,0.0,3,7,6,11,Image2,1.0,1.0,0.3181148700000449
19,1,214_1.jpg,214_2.jpg,214_3.jpg,-0.029149703,0.218024108,-0.36080032799999995,0.036159742,0.107034225,-0.018186325,blowgun,chick,banner,Unclassified,animal,Unclassified,0.07087448299999999,0.24717381100000002,im2,im2,right,214_3.jpg,214_2.jpg,left,left,0.775,V2,f01,2,1,0.6299184519998562,0.6548316600001272,Image1,0.0,0.0,0.75,behavior,324.183088968,328.2000384600001,331.966429737,0.0,2,3,5,11,Image1,0.0,0.0,0.6299184519998562
20,1,79_1.jpg,79_2.jpg,79_3.jpg,-0.25016297600000004,0.722469219,-0.233668562,0.1661734,0.013439065,0.063817995,mulberry,trap,arugula,fruit,Unclassified,plant,-0.152734335,0.972632195,im2,im1,right,79_3.jpg,79_2.jpg,left,right,0.775,V2,f01,1,1,0.35026684700005717,0.5985413509999944,Image2,1.0,1.0,0.75,behavior,337.983408371,343.99975754,349.76672622599995,1.0,4,5,6,11,Image2,1.0,1.0,0.35026684700005717
